Title,imdbRating,Year,NumVotes,ReleaseDate
Pyaar Kii Ye Ek Kahaani,6.5,2010,604,18-10-2010
Sarabhai vs Sarabhai,9.4,2004,14434,08-11-2004
Geet,6.7,2010,287,05-04-2010
Aahat,7.1,1995,661,31-12-1995
Shaka Laka Boom Boom,7.5,2000,983,19-08-2000
Na Bole Tum Na Maine Kuch Kaha,8,2012,243,09-01-2012
Malgudi Days,9.5,1987,3196,18-03-1987
Ramayan,9.3,1987,12052,25-01-1987
Dekh Bhai Dekh,8.5,1993,1186,06-05-1993
Stories by Rabindranath Tagore,8.9,2015,1005,06-07-2015
Sacred Games,9.2,2018,70186,28-06-2018
Bose: Dead/Alive,8.9,2017,5264,20-11-2017
Flop Show,9,1989,1469,31-12-1989
Byomkesh Bakshi,9.1,1993,2472,31-12-1993
Mahabharat,9.7,1988,11626,02-10-1988
TVF Pitchers,9.1,2015,50351,03-06-2015
Kaun Banega Crorepati?,9.2,2000,3419,03-07-2000
Chanakya,9.2,1990,1292,08-09-1991
Diya Aur Baati Hum,5.4,2011,1384,29-08-2011
Bharat Ek Khoj,9.2,1988,635,31-12-1988
